Transaction Amount,Payment Method,Is Fraudulent,Account Age Days
58.09,bank transfer,0,30
389.96,debit card,0,72
134.19,PayPal,0,63
226.17,bank transfer,0,124
121.53,bank transfer,0,158
166.41,bank transfer,0,38
92.88,PayPal,0,119
318.14,credit card,0,251
47.92,bank transfer,0,190
121.78,bank transfer,0,343
633.39,PayPal,0,285
56.31,PayPal,0,259
275.87,credit card,0,307
178.94,debit card,0,200
374.04,bank transfer,0,22
169.04,debit card,0,60
254.48,bank transfer,0,238
266.06,debit card,0,264
263.28,debit card,0,159
475.76,PayPal,0,143
89.38,credit card,0,315
264.24,credit card,0,150
123.35,debit card,0,20
199.02,debit card,0,316
675.74,bank transfer,0,214
352.67,bank transfer,0,189
53.73,bank transfer,0,364
21.24,debit card,0,223
118.83,debit card,0,79
267.12,credit card,0,39
153.05,debit card,0,177
615.52,credit card,0,238
31.08,PayPal,1,147
141.89,debit card,0,334
355.32,debit card,0,148
16.05,credit card,0,213
112.27,credit card,0,139
56.33,bank transfer,0,198
183.16,PayPal,0,273
295.28,bank transfer,0,173
71.57,bank transfer,0,80
264.31,PayPal,0,298
152.78,debit card,0,119
244.2,debit card,0,190
404.27,credit card,0,348
43.96,debit card,0,349
87.36,PayPal,0,7
96.07,PayPal,0,119
361.22,debit card,0,233
86.51,debit card,0,262
686.48,debit card,0,85
115.91,PayPal,0,234
268.3,credit card,0,1
65.03,debit card,0,167
22.93,credit card,0,103
556.02,credit card,0,132
51.05,PayPal,0,44
10.59,debit card,0,272
847.22,bank transfer,0,11
56.83,debit card,0,321
542.49,PayPal,0,242
31.21,credit card,0,219
105.36,debit card,0,347
46.76,PayPal,0,60
133.05,PayPal,0,96
106.72,credit card,0,228
44.04,debit card,0,133
32.15,debit card,0,194
839.3000000000001,bank transfer,1,65
63.15,credit card,0,145
323.24,credit card,0,118
150.28,credit card,0,260
159.28,debit card,0,287
1161.64,debit card,0,146
1213.67,credit card,0,90
187.94,credit card,0,253
11.41,PayPal,0,9
94.46,debit card,0,220
11.84,PayPal,0,223
506.36,debit card,0,41
211.68,credit card,0,87
251.05,credit card,0,7
171.68,bank transfer,0,74
530.29,PayPal,0,246
17.91,credit card,0,135
379.0,debit card,1,30
19.25,bank transfer,0,131
104.07,PayPal,0,53
382.0,credit card,0,273
216.17,credit card,0,24
189.53,bank transfer,0,255
26.84,bank transfer,0,360
46.26,credit card,1,12
119.02,PayPal,0,163
174.78,bank transfer,0,268
122.84,debit card,0,134
145.91,credit card,0,189
147.55,bank transfer,0,9
46.19,PayPal,0,310
147.29,debit card,0,132
34.72,credit card,0,59
51.71,credit card,0,294
71.16,bank transfer,0,131
703.19,bank transfer,0,178
460.35,credit card,0,241
77.78,debit card,0,177
116.96,debit card,0,93
894.0,credit card,0,95
868.43,PayPal,0,114
104.25,credit card,0,243
26.11,debit card,0,45
86.48,bank transfer,0,257
73.3,credit card,0,67
187.37,PayPal,0,45
77.83,PayPal,0,315
14.34,credit card,0,185
385.8,debit card,0,124
186.28,credit card,0,354
34.24,bank transfer,0,176
147.66,debit card,0,286
258.95,credit card,0,181
119.62,bank transfer,0,92
706.2,credit card,0,264
130.44,credit card,0,219
123.77,debit card,0,186
36.31,credit card,0,287
478.72,credit card,0,205
109.55,debit card,0,182
36.14,bank transfer,0,170
52.55,credit card,0,90
375.25,bank transfer,0,60
493.39,PayPal,0,331
40.42,bank transfer,0,242
12.39,debit card,0,337
31.97,credit card,0,313
158.77,bank transfer,0,21
70.88,credit card,0,18
201.85,credit card,0,240
525.74,PayPal,0,22
181.91,credit card,0,267
136.27,credit card,0,10
26.09,debit card,0,185
696.33,PayPal,0,290
109.26,credit card,0,148
444.45,PayPal,0,183
104.05,debit card,0,152
124.41,PayPal,0,81
17.07,bank transfer,0,224
